Spp,Predator mass,Prey mass,log10_PPMR
Swordfish,81300,43.4,3.272600816
Swordfish,81300,24.1,3.528073503
Swordfish,81300,20.9,3.589944259
Swordfish,81300,90.8,2.952004697
Swordfish,21100,4.9,3.634086375
Swordfish,21100,6.65,3.50146081
Swordfish,21100,4.94,3.630555506
Swordfish,21100,5.81,3.560106323
Swordfish,21100,6.79,3.492412681
Swordfish,21100,7.43,3.453293642
Swordfish,21100,9.39,3.351616863
Swordfish,21100,10.8,3.2908587
Swordfish,21100,11.8,3.252400448
Swordfish,21100,12.7,3.220478734
Swordfish,21100,14.2,3.171994111
Swordfish,21100,16.3,3.112094851
Swordfish,21100,18.6,3.054769511
Swordfish,21100,20.3,3.016786417
Swordfish,21100,40.3,2.718977409
Swordfish,130000,69.5,3.271958548
Swordfish,130000,35.3,3.566168647
Swordfish,130000,641,2.307085323
Swordfish,130000,411,2.50010153
Swordfish,155000,7.23,4.331193401
Swordfish,155000,33.7,3.662701797
Swordfish,155000,39.1,3.598154941
Swordfish,155000,45.9,3.528519013
Swordfish,155000,2330,1.822975777
Swordfish,155000,290,2.7279337
Swordfish,19700,6.76,3.46451953
Swordfish,19700,6,3.516314976
Swordfish,19700,89.4,2.343128707
Swordfish,19700,10.2,3.285866054
Swordfish,19700,19.9,2.99561315
Swordfish,19700,21.3,2.966086623
Swordfish,19700,23.1,2.930854246
Swordfish,19700,23.1,2.930854246
Swordfish,19700,28.4,2.841147886
Swordfish,19700,29.6,2.823174515
Swordfish,19700,30.1,2.815899731
Swordfish,19700,31.1,2.801705837
Swordfish,19700,36,2.738163725
Swordfish,19700,46.3,2.628885235
Swordfish,19700,47.9,2.614130713
Swordfish,19700,51.2,2.585196265
Swordfish,19700,51.7,2.580975683
Swordfish,19700,53.4,2.566924969
Swordfish,19700,55.2,2.552527148
Swordfish,19700,59.9,2.517039404
Swordfish,19700,60.8,2.510562647
Swordfish,19700,61.3,2.507005752
Swordfish,19700,68.4,2.459410124
Swordfish,19700,68.4,2.459410124
Swordfish,19700,70.5,2.446277109
Swordfish,19700,71.6,2.439553204
Swordfish,19700,73.8,2.426409864
Swordfish,19700,75.5,2.416519275
Swordfish,19700,76,2.413652634
Swordfish,19700,89.9,2.340706534
Swordfish,19700,92.4,2.328794255
Swordfish,19700,106,2.269160361
Swordfish,19700,23,2.93273839
Swordfish,19700,32,2.789316248
Swordfish,19700,55.7,2.548611031
Swordfish,19700,57,2.53859137
Swordfish,19700,97.7,2.304571662
Swordfish,19700,119,2.218919265
Swordfish,185000,2910,1.803278739
Swordfish,21100,61.3,2.536821981
Swordfish,125000,5.56,4.351835221
Swordfish,125000,4.02,4.49268396
Swordfish,125000,7.48,4.223008415
Swordfish,125000,228,2.738975166
